CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
188.0,2,7.0467,2,33.8469,2,172.5,2,67.0,2,0.024,2,0.10300000000000001,2,,2
188.9,2,7.0252,2,33.8514,2,172.0,2,67.0,2,0.024,2,0.10400000000000001,2,,2
190.0,2,7.011,2,33.8539,2,171.7,2,67.0,2,0.027000000000000003,2,0.10800000000000001,2,,2
191.0,2,7.0058,2,33.8551,2,171.7,2,67.0,2,0.024,2,0.129,2,,2
192.0,2,6.9978,2,33.8557,2,171.5,2,67.0,2,0.024,2,0.11699999999999999,2,,2
193.0,2,6.9911,2,33.8561,2,171.2,2,67.0,2,0.024,2,0.113,2,,2
194.0,2,6.9783,2,33.857,2,171.0,2,67.0,2,0.024,2,0.124,2,,2
195.0,2,6.9693,2,33.8573,2,171.0,2,67.0,2,0.024,2,0.121,2,,2
196.0,2,6.9655,2,33.8574,2,170.9,2,67.0,2,0.024,2,0.11800000000000001,2,,2
197.0,2,6.9622,2,33.8582,2,170.3,2,67.0,2,0.024,2,0.11900000000000001,2,,2
198.0,2,6.9576,2,33.8592,2,170.0,2,67.0,2,0.031,2,0.132,2,,2
199.0,2,6.9434,2,33.8612,2,169.6,2,67.0,2,0.024,2,0.125,2,,2
200.0,2,6.9263,2,33.8627,2,169.3,2,67.0,2,0.024,2,0.12,2,,2
201.0,2,6.9043,2,33.8655,2,168.8,2,67.0,2,0.024,2,0.127,2,,2
202.0,2,6.8922,2,33.866,2,167.9,2,66.9,2,0.024,2,0.126,2,,2
203.0,2,6.8771,2,33.8663,2,166.9,2,67.0,2,0.024,2,0.134,2,,2
204.0,2,6.8632,2,33.867,2,165.9,2,67.0,2,0.024,2,0.126,2,,2
205.0,2,6.8445,2,33.8682,2,165.0,2,67.0,2,0.024,2,0.124,2,,2
