CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
355,2,5.4608,2,34.0159,2,,2,0.61,2,,2
356,2,5.457999999999999,2,34.0162,2,,2,0.612,2,,2
357,2,5.4573,2,34.0165,2,,2,0.608,2,,2
358,2,5.4544,2,34.0167,2,,2,0.611,2,,2
359,2,5.4479,2,34.0177,2,,2,0.612,2,,2
360,2,5.4431,2,34.0189,2,,2,0.612,2,,2
361,2,5.4419,2,34.0196,2,,2,0.609,2,,2
362,2,5.4421,2,34.021,2,,2,0.612,2,,2
363,2,5.4411,2,34.0218,2,,2,0.61,2,,2
364,2,5.4362,2,34.0217,2,,2,0.613,2,,2
365,2,5.4339,2,34.022,2,,2,0.612,2,,2
366,2,5.4325,2,34.0225,2,,2,0.613,2,,2
367,2,5.4259,2,34.0238,2,,2,0.611,2,,2
368,2,5.4232,2,34.0235,2,,2,0.612,2,,2
369,2,5.4223,2,34.0241,2,,2,0.613,2,,2
370,2,5.4213,2,34.0243,2,,2,0.609,2,,2
371,2,5.4189,2,34.0245,2,,2,0.608,2,,2
372,2,5.4141,2,34.0246,2,,2,0.611,2,,2
373,2,5.4039,2,34.0262,2,,2,0.609,2,,2
374,2,5.3928,2,34.0278,2,,2,0.612,2,,2
375,2,5.3798,2,34.0289,2,,2,0.612,2,,2
376,2,5.3681,2,34.0278,2,,2,0.612,2,,2
377,2,5.3392,2,34.0247,2,,2,0.614,2,,2
378,2,5.331,2,34.0253,2,,2,0.61,2,,2
379,2,5.332000000000001,2,34.0262,2,,2,0.612,2,,2
380,2,5.3292,2,34.0276,2,,2,0.612,2,,2
