CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
129,2,7.9149,2,33.7377,2,119.6,2,63.4,2,0.109,2,,2
130,2,7.9159,2,33.7428,2,118.6,2,63.7,2,0.109,2,,2
131,2,7.9207,2,33.7528,2,118.3,2,64.5,2,0.10099999999999999,2,,2
132,2,7.9223,2,33.7684,2,118.7,2,64.5,2,0.09300000000000001,2,,2
133,2,7.9228,2,33.7707,2,117.7,2,64.0,2,0.09300000000000001,2,,2
134,2,7.9236,2,33.772,2,116.8,2,64.1,2,0.09699999999999999,2,,2
135,2,7.9252,2,33.7763,2,116.7,2,64.1,2,0.109,2,,2
136,2,7.9266,2,33.7786,2,116.2,2,64.2,2,0.109,2,,2
137,2,7.9294,2,33.7828,2,116.1,2,64.9,2,0.109,2,,2
138,2,7.9342,2,33.7878,2,117.4,2,65.0,2,0.109,2,,2
139,2,7.9309,2,33.8013,2,117.4,2,65.1,2,0.109,2,,2
140,2,7.9243,2,33.8059,2,117.5,2,65.2,2,0.109,2,,2
141,2,7.8954,2,33.8106,2,117.7,2,65.2,2,0.109,2,,2
142,2,7.8713,2,33.8118,2,114.3,2,65.1,2,0.09300000000000001,2,,2
143,2,7.8538,2,33.8146,2,112.3,2,65.6,2,0.105,2,,2
144,2,7.8231,2,33.8224,2,108.1,2,66.2,2,0.109,2,,2
145,2,7.8136,2,33.8268,2,103.8,2,66.5,2,0.098,2,,2
146,2,7.7913,2,33.8383,2,99.6,2,66.6,2,0.10300000000000001,2,,2
147,2,7.7839,2,33.8509,2,97.8,2,66.4,2,0.10099999999999999,2,,2
148,2,7.7625,2,33.8644,2,96.6,2,66.1,2,0.098,2,,2
149,2,7.7531,2,33.8662,2,95.6,2,65.6,2,0.10800000000000001,2,,2
150,2,7.7407,2,33.8692,2,95.2,2,65.5,2,0.109,2,,2
151,2,7.7288,2,33.8717,2,96.3,2,65.4,2,0.109,2,,2
152,2,7.7189,2,33.8743,2,96.9,2,65.4,2,0.109,2,,2
153,2,7.7058,2,33.8777,2,96.6,2,65.3,2,0.109,2,,2
154,2,7.6803,2,33.8836,2,96.5,2,65.3,2,0.109,2,,2
155,2,7.657,2,33.8876,2,96.0,2,65.3,2,0.109,2,,2
